country_code,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,population
BRN,Brunei,4130,4114,4098,4082,4066,4050,4034,4018,4002,3986,3970,3953,3936,3919,3902,3885,3868,3851,3834,3817,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,452524
BGR,Bulgaria,33270,33318,33366,33414,33462,33510,33558,33606,33654,33702,33750,34112,34474,34836,35198,35560,35922,36284,36646,37008,37370,37562,37754,37946,38138,38330,38410,38540,38670,38800,38930,39060,6687717
BFA,Burkina Faso,77166,76666,76166,75666,75166,74666,74165,73665,73165,72665,72165,71665,71165,70665,70165,69665,69165,68665,68165,67665,67165,66665,66165,65664,65164,64664,64164,63664,63164,62664,62164,61664,23251485
BDI,Burundi,2765,2682,2600,2517,2435,2352,2270,2187,2104,2022,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939,2111,2282,2454,2625,2796,2796,2796,2796,2796,2796,2796,13238559
CPV,Cape Verde,154,178,202,227,251,276,300,324,349,373,397,400,403,406,409,412,415,418,421,424,427,430,433,436,439,442,445,448,451,454,457,460,598682
KHM,Cambodia,110048,109824,109600,109377,109153,108929,108705,108481,108258,108034,107810,107618,107426,107235,107043,106851,106659,106468,106276,106084,105892,102407,98923,95438,91953,88468,86911,85354,83798,82241,80684,79127,16944826
CMR,Cameroon,225000,224097,223195,222292,221390,220487,219585,218682,217780,216877,215975,215278,214581,213884,213187,212490,211793,211096,210399,209702,209005,208445,207885,207325,206765,206205,205645,205085,204525,203965,203405,202845,28647293
CAN,Canada,3482729,3482258,3481787,3481316,3480845,3480375,3479904,3479433,3478962,3478491,3478020,3477540,3477060,3476580,3476101,3475621,3475141,3474661,3474182,3473702,3473222,3472809,3472396,3471983,3471570,3471157,3470760,3470391,3470021,3469651,3469281,3468911,38781291
CYM,Cayman Islands,131,131,131,131,131,130,130,130,130,130,129,129,129,129,128,128,128,128,128,127,127,127,127,127,127,127,127,127,128,127,127,127,69310
CAF,Central African Republic,232030,231730,231430,231130,230830,230530,230230,229930,229630,229330,229030,228730,228430,228130,227830,227530,227230,226930,226630,226330,226030,225730,225430,225130,224830,224530,224230,223930,223630,223330,223030,222730,5742315
TCD,Chad,67300,66923,66546,66169,65792,65415,65038,64661,64284,63907,63530,62707,61884,61061,60238,59415,58592,57769,56946,56123,55300,54020,52740,51460,50180,48900,47690,46510,45350,44220,43130,42013,18278568
CHL,Chile,152461,153032,153603,154174,154745,155316,155887,156458,157029,157600,158171,159079,159987,160895,161803,162712,163620,164528,165436,166344,167253,168994,170736,172478,174219,175961,177190,178419,179649,180878,182107,183336,19629590
CHN,China,1571406,1591266,1611126,1630986,1650846,1670706,1690566,1710426,1730286,1750146,1770006,1793615,1817225,1840835,1864445,1888055,1911664,1935274,1958884,1982494,2006104,2025472,2044839,2064207,2083575,2102943,2124599,2143395,2162190,2180986,2199782,2218578,1425671352
COL,Colombia,649581,647359,645136,642913,640691,638468,636246,634023,631800,629578,627355,625427,623500,621572,619644,617716,615789,613861,611933,610006,608078,606732,605385,604039,602693,601347,599595,597398,595405,593412,591419,589426,52085168
COM,Comoros,461,456,452,447,443,439,434,430,426,421,417,412,408,404,399,395,391,386,382,377,373,369,364,360,355,351,347,342,338,334,329,325,852075
COD,DR Congo,1506290,1499560,1492830,1486100,1479370,1472640,1465910,1459180,1452450,1445720,1438990,1432260,1425530,1418800,1412070,1405340,1398610,1391880,1385150,1378420,1371690,1360676,1349662,1338649,1327635,1316621,1305607,1294594,1283580,1272566,1261552,1250539,102262808
COG,Republic of the Congo,223150,223030,222910,222790,222670,222550,222430,222310,222190,222070,221950,221830,221710,221590,221470,221350,221230,221110,220990,220870,220750,220630,220510,220390,220270,220150,220030,219910,219760,219610,219460,219310,6106869
CRI,Costa Rica,29074,29024,28974,28923,28873,28823,28773,28723,28673,28622,28572,28586,28600,28614,28628,28642,28656,28670,28684,28698,28712,28876,29039,29203,29367,29530,29694,29858,30021,30185,30349,30512,5212173
CIV,Ivory Coast,78509,75752,72996,70239,67483,64727,61970,59214,56457,53701,50945,49816,48687,47558,46429,45300,44171,43042,41914,40785,39656,38527,37398,36269,35140,34012,32883,31754,30625,29496,28367,27238,28873034
HRV,Croatia,18570,18570,18570,18605,18640,18675,18710,18745,18780,18815,18850,18885,18920,18955,18990,19025,19060,19095,19130,19165,19200,19204,19208,19212,19216,19220,19241,19316,19341,19366,19391,19416,4008617
CUB,Cuba,20580,20957,21334,21711,22088,22465,22842,23219,23596,23973,24350,24847,25344,25841,26338,26835,27332,27829,28326,28823,29320,29824,30328,30832,31336,31840,32410,32420,32420,32420,32420,32420,11194449
CUW,Curacao,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,192077
CYP,Cyprus,1611,1622,1632,1643,1653,1664,1674,1685,1695,1706,1716,1717,1719,1720,1721,1722,1723,1725,1726,1727,1728,1728,1728,1728,1727,1727,1726,1726,1726,1726,1725,1725,1260138
CZE,Czech Republic,26318,26318,26318,26318,26326,26334,26341,26349,26357,26365,26373,26393,26413,26433,26453,26473,26493,26514,26534,26554,26574,26596,26618,26640,26662,26684,26699,26717,26735,26753,26771,26789,10495295
DNK,Denmark,5314,5355,5395,5435,5475,5515,5555,5596,5636,5676,5716,5731,5746,5761,5776,5790,5805,5820,5835,5850,5865,5941,6018,6094,6170,6247,6247,6256,6266,6275,6284,6294,5910913
